,no rank,superkingdom,order,family,genus,species,phylum,class,clade,strain,isolate,subphylum
573064,cellular organisms,Archaea,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus fervens,Euryarchaeota,Methanococci,Methanomada group,Methanocaldococcus fervens AG86,,
634498,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter ruminantium,Euryarchaeota,Methanobacteria,Methanomada group,Methanobrevibacter ruminantium M1,,
410358,cellular organisms,Archaea,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanocorpusculum labreanum Z,,
1201294,cellular organisms,Archaea,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus bourgensis,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanoculleus bourgensis MS2,,
572546,cellular organisms,Archaea,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus profundus,Euryarchaeota,Archaeoglobi,,Archaeoglobus profundus DSM 5631,,
591019,cellular organisms,Archaea,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus hellenicus,Crenarchaeota,Thermoprotei,TACK group,Staphylothermus hellenicus DSM 12710,,
86622,unclassified Methanoculleus,Archaea,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus sp. MAB1,Euryarchaeota,Methanomicrobia,Stenosarchaea group,,,
88724,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Natrinema,Natrinema versiforme,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
490899,cellular organisms,Archaea,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,Crenarchaeota,Thermoprotei,TACK group,Desulfurococcus amylolyticus 1221n,,
768672,cellular organisms,Archaea,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,Crenarchaeota,Thermoprotei,TACK group,Desulfurococcus amylolyticus DSM 16532,,
333146,cellular organisms,Archaea,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,Ferroplasma acidarmanus,Euryarchaeota,Thermoplasmata,Diaforarchaea group,Ferroplasma acidarmanus fer1,,
867904,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans hollandica,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanomethylovorans hollandica DSM 15978,,
1432656,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus guaymasensis,Euryarchaeota,Thermococci,,Thermococcus guaymasensis DSM 11113,,
273063,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfurisphaera,Sulfurisphaera tokodaii,Crenarchaeota,Thermoprotei,TACK group,Sulfurisphaera tokodaii str. 7,,
113653,cellular organisms,Archaea,Archaeoglobales,Archaeoglobaceae,Geoglobus,Geoglobus ahangari,Euryarchaeota,Archaeoglobi,,,,
114529,cellular organisms,Archaea,Haloferacales,Haloferacaceae,Haloferax,Haloferax alexandrinus,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
118062,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium congolense,Euryarchaeota,Methanobacteria,Methanomada group,,,
340102,cellular organisms,Archaea,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum arsenaticum,Crenarchaeota,Thermoprotei,TACK group,Pyrobaculum arsenaticum DSM 13514,,
122420,unclassified Thermococcus,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. P6,Euryarchaeota,Thermococci,,,,
145261,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter wolfeii,Euryarchaeota,Methanobacteria,Methanomada group,,,
187420,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus,Euryarchaeota,Methanobacteria,Methanomada group,Methanothermobacter thermautotrophicus str. Delta H,,
79929,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter marburgensis,Euryarchaeota,Methanobacteria,Methanomada group,Methanothermobacter marburgensis str. Marburg,,
519442,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus utahensis,Euryarchaeota,Halobacteria,Stenosarchaea group,Halorhabdus utahensis DSM 12940,,
