,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,branch_length
1606,8.0,1.0,1.0,4542037.5,64.5951569908,0.46449891594250003,2,202.5,0.0348104
1607,7.666666666666667,1.0,1.0,4084468.0,63.84754297843333,0.47055105074,3,188.66666666666666,0.0354036
1614,4.0,1.0,1.0,2205830.5,51.826142474250005,0.498737813097,2,138.0,0.00151997
1618,4.0,1.0,1.0,2189911.5,51.652862458,0.5054584061285,2,136.0,0.00457501
1619,4.0,1.0,1.0,2177746.3333333335,51.66868221246667,0.5025591048923334,3,133.66666666666666,0.00152747
1627,4.0,1.5,1.5,2235080.0,52.1653826812,0.5145416772205,2,54.0,1.13079e-06
1628,4.0,1.3333333333333333,1.3333333333333333,2208027.3333333335,52.340139025599996,0.5148977069883333,3,78.0,1.13079e-06
1629,4.0,1.5,1.5,2215065.0,52.236021839450004,0.51463226514475,4,86.25,0.0222754
1630,4.0,1.4,1.4,2220641.4,52.12685934236,0.5138506541164001,5,95.2,0.0132186
1632,4.0,1.3333333333333333,1.3333333333333333,2225609.3333333335,52.006532355750004,0.5111560086535,6,102.83333333333333,0.00138896
1633,4.0,1.2857142857142858,1.2857142857142858,2233029.4285714286,51.923531024942854,0.5102578920191428,7,109.0,0.00305993
1634,4.0,1.25,1.25,2222062.625,51.926485659962495,0.508908922881,8,112.25,0.00149719
1637,4.0,1.0,1.0,2274170.0,51.4021467388,0.507666838925,2,133.0,0.00455881
1639,4.0,1.0,1.0,2265768.6666666665,51.37939845616666,0.507097227032,3,133.33333333333334,0.0030739
1640,4.0,1.1818181818181819,1.1818181818181819,2233982.4545454546,51.777280058927275,0.5084148240130909,11,118.0,0.00302607
1641,4.0,1.1428571428571428,1.1428571428571428,2221931.8571428573,51.75400909182857,0.5071600270586429,14,121.35714285714286,1.13079e-06
1643,4.0,1.1333333333333333,1.1333333333333333,2225293.7333333334,51.73893107896001,0.5068108038435334,15,121.73333333333333,0.00151196
1644,4.0,1.1176470588235294,1.1176470588235294,2223003.9411764704,51.74919124311177,0.5058610402262941,17,123.6470588235294,0.00318571
1645,4.0,1.1111111111111112,1.1111111111111112,2226602.4444444445,51.735283771300004,0.5058411934671111,18,124.61111111111111,0.0164652
1646,4.0,1.105263157894737,1.105263157894737,2226286.8421052634,51.763690394626316,0.5051411333105262,19,124.6842105263158,0.0562905
1647,4.0,1.1,1.1,2227804.85,51.888484466585,0.5050318096248001,20,123.55,0.0636534
1648,4.0,1.0952380952380953,1.0952380952380953,2242098.8095238097,51.38264923299524,0.5046770489360952,21,123.57142857142857,0.0982724
1649,4.458333333333333,1.0833333333333333,1.0833333333333333,2472394.9583333335,52.940760951175,0.5004112991615833,24,131.70833333333334,0.0603552
1650,4.36,1.08,1.08,2489891.52,53.465819431884,0.49943703716367993,25,132.92,0.0299108
1653,1.0,2.5,2.5,3222211.0,52.01142487775,0.5024706888220001,2,143.5,0.0533713
1656,1.0,2.0,2.0,3560233.5,44.900020160850005,0.49878669097350004,2,145.0,0.0774267
1660,1.0,2.0,2.0,2796959.0,50.0208737799,0.4871097391285,2,152.0,0.0997639
1661,1.0,1.6666666666666667,1.6666666666666667,3220585.3333333335,48.25784788793334,0.4840671027203333,3,145.66666666666666,0.0264357
