"tax_id","parent_id","rank","tax_name","root","root_","superkingdom","superkingdom_","superkingdom__","phylum","phylum_","phylum__","class","class_","order","order_","order__","family","family_","genus","species","species_"
"273075","2303","species_","Thermoplasma acidophilum DSM 1728","1","131567","2157","","","28890","2283796","","183967","","2301","","","46659","","2302","2303","273075"
"50339","2302","species","Thermoplasma volcanium","1","131567","2157","","","28890","2283796","","183967","","2301","","","46659","","2302","50339",""
"273116","50339","species_","Thermoplasma volcanium GSS1","1","131567","2157","","","28890","2283796","","183967","","2301","","","46659","","2302","50339","273116"
"90142","2301","family","Ferroplasmaceae","1","131567","2157","","","28890","2283796","","183967","","2301","","","90142","","","",""
"74968","90142","genus","Ferroplasma","1","131567","2157","","","28890","2283796","","183967","","2301","","","90142","","74968","",""
"74969","74968","species","Ferroplasma acidiphilum","1","131567","2157","","","28890","2283796","","183967","","2301","","","90142","","74968","74969",""
"97393","74968","species","Ferroplasma acidarmanus","1","131567","2157","","","28890","2283796","","183967","","2301","","","90142","","74968","97393",""
"333146","97393","species_","Ferroplasma acidarmanus fer1","1","131567","2157","","","28890","2283796","","183967","","2301","","","90142","","74968","97393","333146"
"74967","2301","order_","unclassified Thermoplasmatales","1","131567","2157","","","28890","2283796","","183967","","2301","74967","","","","","",""
"1919231","74967","order__","unclassified Thermoplasmatales (miscellaneous)","1","131567","2157","","","28890","2283796","","183967","","2301","74967","1919231","","","","",""
"1054217","1919231","species","Thermoplasmatales archaeon BRNA1","1","131567","2157","","","28890","2283796","","183967","","2301","74967","1919231","","","","1054217",""
"1234666","183967","class_","unclassified Thermoplasmata","1","131567","2157","","","28890","2283796","","183967","1234666","","","","","","","",""
"1495144","1234666","species","methanogenic archaeon ISO4-H5","1","131567","2157","","","28890","2283796","","183967","1234666","","","","","","","1495144",""
"1803510","2283796","phylum__","DHVE2 group","1","131567","2157","","","28890","2283796","1803510","","","","","","","","","",""
"379546","1803510","genus","Aciduliprofundum","1","131567","2157","","","28890","2283796","1803510","","","","","","","","379546","",""
"379547","379546","species","Aciduliprofundum boonei","1","131567","2157","","","28890","2283796","1803510","","","","","","","","379546","379547",""
"439481","379547","species_","Aciduliprofundum boonei T469","1","131567","2157","","","28890","2283796","1803510","","","","","","","","379546","379547","439481"
"673860","379546","species","Aciduliprofundum sp. MAR08-339","1","131567","2157","","","28890","2283796","1803510","","","","","","","","379546","673860",""
"2290931","28890","phylum_","Stenosarchaea group","1","131567","2157","","","28890","2290931","","","","","","","","","","",""
"183963","2290931","class","Halobacteria","1","131567","2157","","","28890","2290931","","183963","","","","","","","","",""
"1644055","183963","order","Haloferacales","1","131567","2157","","","28890","2290931","","183963","","1644055","","","","","","",""
"1644056","1644055","family","Haloferacaceae","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","","",""
"1073986","1644056","genus","Halobellus","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","1073986","",""
"699433","1073986","species","Halobellus limi","1","131567","2157","","","28890","2290931","","183963","","1644055","","","1644056","","1073986","699433",""
