"seqname","accession","tax_id","species_name","is_type"
"GCF_900083515.1_Cuniculiplasma_divulgatum_strain_S5_T____JCM_30642___VKM_B-2941_","","1673428","",""
"GCF_001484685.1_Thermococcus_sp._2319x1_strain_2319x1","","1674923","",""
"GCF_003058365.1_Haloarculaceae_archaeon_HArcel1_strain_HArcel1","","1679096","",""
"GCF_001647085.1_Thermococcus_piezophilus_strain_CDGS","","1712654","",""
"GCF_003268005.1_Methanosphaera_sp._BMS_strain_BMS","","1789762","",""
"GCF_900696045.1_Candidatus_Nitrosocosmicus_franklandus","","1798806","",""
"GCF_001870125.1_Candidatus_Nitrosocosmicus_exaquare_strain_G61","","1826872","",""
"GCF_002787055.1_Candidatus_Nitrosotenuis_aquarius_strain_AQ6F","","1846278","",""
"GCF_001767315.1_Halodesulfurarchaeum_formicicum_strain_HTSR1","","1873524","",""
"GCF_001719125.1_Sulfolobus_sp._A20_strain_A20","","1891280","",""
"GCF_002156965.1_Candidatus_Nitrosomarinus_catalina_strain_SPOT01","","1898749","",""
"GCF_002214165.1_Candidatus_Mancarchaeum_acidiphilum_strain_Mia14","","1920749","",""
"GCF_002844335.1_Haloarcula_taiwanensis_strain_Taiwanensis","","1932004","",""
"GCF_001989615.1_Halorientalis_sp._IM1011_strain_IM1011","","1932360","",""
"GCF_900198835.1_Thermococcus_sp._EXT12c_strain_EXT12c","","2016361","",""
"GCF_003430825.1_Natronolimnobius_sp._AArc1_strain_AArc1","","2044521","",""
"GCF_002906215.1_Candidatus_Nitrosocaldus_islandicus","","2045011","",""
"GCF_002952775.1_archaeon_AArc-Sl_strain_AArc-Sl","","2055893","",""
"GCF_003430805.1_Natronolimnobius_sp._AArc-Mg_strain_AArc-Mg","","2086290","",""
"GCF_004114375.1_Halorubrum_sp._BOL3-1_strain_BOL3-1","","2497325","",""
"GCF_004087835.1_Halorussus_sp._RC-68_strain_RC-68","","2505977","",""
"GCF_006740685.1_Candidatus_Nitrosopumilus_sp._SW_strain_SW","","2508726","",""
"GCF_005155585.1_Haloprofundus_sp._MHR1_strain_MHR1","","2572921","",""
"GCF_005954745.1_Halostella_sp._DL-M4_strain_DL-M4","","2583824","",""
"GCF_006274605.1_Thermococcus_sp._IOH1_strain_IOH1","","2586643","",""
"GCF_008000775.1_anaerobic_archaeon_MK-D1_strain_MK-D1","","2594042","",""
"GCF_008152015.1_Thermococcus_sp._SY113_strain_SY113","","2598455","",""
"GCF_007833275.1_Salarchaeum_sp._JOR-1_strain_JOR-1","","2599399","",""
"GCF_008033705.1_Methanothermobacter_sp._KEPCO1_strain_KEPCO1","","2603820","",""
"GCF_003351865.1_Methanofervidicoccus_sp._A16_strain_A16","","2607662","",""
"GCF_009601705.1_Sulfolobus_sp._E5-1-F_strain_E5-1-F","","2663019","",""
"GCF_009602405.1_Sulfolobus_sp._E11-6_strain_E11-6","","2663020","",""
