,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,nec_terminal,branch_length
486,0.0,0.0,0.0,0.0,0.0,0.0,5.0,248.0,2133.0,1e-06
488,0.0,0.0,0.0,0.0,0.0,0.0,6.0,248.16666666666666,2089.0,0.00831227
492,0.0,0.0,0.0,0.0,0.0,0.0,2.0,232.0,3423.5,0.000377284
495,0.0,0.0,0.0,0.0,0.0,0.0,2.0,223.5,2190.5,1e-06
496,0.0,0.0,0.0,0.0,0.0,0.0,4.0,227.75,2807.0,0.0155951
499,0.0,0.0,0.0,0.0,0.0,0.0,2.0,208.5,1346.5,0.0129779
500,0.0,0.0,0.0,0.0,0.0,0.0,6.0,221.33333333333334,2320.1666666666665,0.0162112
501,0.0,0.0,0.0,0.0,0.0,0.0,7.0,221.14285714285714,2197.1428571428573,0.119263
503,0.0,0.0,0.0,0.0,0.0,0.0,8.0,221.875,2246.625,0.0187273
504,0.0,0.0,0.0,0.0,0.0,0.0,14.0,233.14285714285714,2179.0714285714284,0.0220853
505,0.0,0.0,0.0,0.0,0.0,0.0,16.0,233.125,2099.9375,0.0120405
507,0.0,0.0,0.0,0.0,0.0,0.0,17.0,233.8235294117647,2075.764705882353,0.0504907
511,0.0,0.0,0.0,0.0,0.0,0.0,2.0,246.0,2466.0,1e-06
513,0.0,0.0,0.0,0.0,0.0,0.0,3.0,229.0,2090.0,1e-06
514,0.0,0.0,0.0,0.0,0.0,0.0,4.0,233.25,2363.5,0.0201539
516,0.0,0.0,0.0,0.0,0.0,0.0,5.0,225.4,2113.0,0.0627892
517,0.0,0.0,0.0,0.0,0.0,0.0,22.0,231.9090909090909,2084.2272727272725,0.0178277
521,0.0,0.0,0.0,0.0,0.0,0.0,2.0,214.5,2281.0,0.0820594
522,0.0,0.0,0.0,0.0,0.0,0.0,3.0,221.33333333333334,2074.6666666666665,0.0178315
523,0.0,0.0,0.0,0.0,0.0,0.0,25.0,230.64,2083.08,0.0103727
524,0.0,0.0,0.0,0.0,0.0,0.0,28.0,232.07142857142858,2167.4285714285716,0.0221903
525,0.0,0.0,0.0,0.0,0.0,0.0,33.0,223.93939393939394,2054.181818181818,0.0154092
528,0.0,0.0,0.0,0.0,0.0,0.0,2.0,103.0,716.5,0.11857
532,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225.5,1897.5,0.0633698
533,0.0,0.0,0.0,0.0,0.0,0.0,3.0,209.33333333333334,1744.0,0.0348441
536,0.0,0.0,0.0,0.0,0.0,0.0,2.0,238.0,4199.5,0.0141768
541,0.0,0.0,0.0,0.0,0.0,0.0,2.0,231.5,2672.0,0.0061089
542,0.0,0.0,0.0,0.0,0.0,0.0,3.0,225.0,2258.3333333333335,0.00465479
545,0.0,0.0,0.0,0.0,0.0,0.0,2.0,227.0,1904.5,0.00251631
546,0.0,0.0,0.0,0.0,0.0,0.0,5.0,225.8,2116.8,0.00752246
547,0.0,0.0,0.0,0.0,0.0,0.0,6.0,224.0,1984.3333333333333,0.0252756
550,0.0,0.0,0.0,0.0,0.0,0.0,2.0,221.0,2210.0,0.0375815
551,0.0,0.0,0.0,0.0,0.0,0.0,8.0,223.25,2040.75,0.0479889
