taxo_id,kingdom,supergroup,division,class,order,family,genus,species,taxo_id
4681,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia,Heterosiphonia_muelleri,4681
5286,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Nemastomatales,Nemastomatales_X,Platoma,Platoma_cyclocolpa,5286
47020,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-E,Chrysophyceae_Clade-E_X,Chrysophyceae_Clade-E_X_sp.,47020
45208,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Euglyphidae,Euglypha,Euglypha_acanthophora,45208
4660,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,Ceramium_tenerrimum,4660
2267,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-4,Euduboscquella,Euduboscquella_sp.,2267
2989,Eukaryota,Apusozoa,Hilomonadea,Planomonadida,Planomonadidae,Planomonadidae_Group-1,Ancyromonas,Ancyromonas_sigmoides,2989
5631,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Aneura,Aneura_pinguis,5631
47308,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,Sargassum,Sargassum_horneri,47308
47528,Eukaryota,Stramenopiles,Opalozoa,MAST-12,MAST-12C,MAST-12C_X,MAST-12C_XX,MAST-12C_XX_sp.,47528
9280,Eukaryota,Archaeplastida,Streptophyta,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Staurastrum,Staurastrum_punctulatum,9280
50649,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Sarcocystidae,Sarcocystis7,Sarcocystis7_hardangeri,50649
48743,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae_E,Strombidium_E,Strombidium_sulcatum,48743
5385,Eukaryota,Archaeplastida,Rhodophyta,Porphyridiophyceae,Porphyridiales,Porphyridiales_X,Porphyridium,Porphyridium_purpureum,5385
47493,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Schizochytrium,Schizochytrium_sp.,47493
4474,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Porphyra,Porphyra_sp.,4474
34,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Eimeriidae,Cyclospora,Cyclospora_sp.,34
4643,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Centroceras,Centroceras_clavulatum,4643
9139,Eukaryota,Archaeplastida,Streptophyta,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,Cylindrocystis,Cylindrocystis_brebissonii,9139
2098,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium_pallidum,2098
1093,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_1,Philasterida,Uronema,Uronema_elegans,1093
7774,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Osmundastrum,Osmundastrum_cinnamomeum,7774
5210,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gracilariales,Gracilariales_X,Gracilaria,Gracilaria_gracilis,5210
